template_name,card_name,record_type,question_label,question_data_name,question_input_type,function_name,function_body,function_args
Ironing & Laundry Shop,success,Function Definition,,,,occNetMarginFunction,return ((Number(assessedNetMonthlyIncome)/Number(totalMonthlyRevenue))*100).toFixed(2);,"[""assessedNetMonthlyIncome"", ""totalMonthlyRevenue""]"
Ironing & Laundry Shop,success,Function Definition,,,,totalRentExpenseFunction,const totalRentExpense = rentAmount || 0; return totalRentExpense.toFixed(2);,"[""rentAmount""]"
Ironing & Laundry Shop,success,Function Definition,,,,totalMonthlyRevenueCalc,return (Number(ironTotalMonthlyRevenue) + Number(laundryTotalMonthlyRevenue) + Number(drycleaningTotalMonthlyRevenue) ).toFixed(2);,"[""ironTotalMonthlyRevenue"", ""laundryTotalMonthlyRevenue"", ""drycleaningTotalMonthlyRevenue""]"
Ironing & Laundry Shop,Laundry Y/N,Function Definition,,,,resetVariables,"/*
This is just raw code that does not have to be inside the function
window[""transitionApiParams!flowID!""].inputParams.{variableName} = [] // [] if is an datagrid 
window[""transitionApiParams!flowID!""].inputParams.{variableName} = 0 // [] if is an number type  
window[""transitionApiParams!flowID!""].inputParams.{variableName} = """" // [] if is an number type  
]
*/
  // for example : This is actual code
  if (value === ""No"") {
    window[""transitionApiParams!flowID!""].inputParams.laundryIncomeInfoGrid = []
    window[""transitionApiParams!flowID!""].inputParams.laundryTotalMonthlyRevenue = 0
  }","[""value""]"
Ironing & Laundry Shop,Laundry Y/N,Question,Do you  provide laundry services ?,laundryService,radio,,,[]
Ironing & Laundry Shop,dry cleaning Y/N,Function Definition,,,,resetVariables,"/*
This is just raw code that does not have to be inside the function
window[""transitionApiParams!flowID!""].inputParams.{variableName} = [] // [] if is an datagrid 
window[""transitionApiParams!flowID!""].inputParams.{variableName} = 0 // [] if is an number type  
window[""transitionApiParams!flowID!""].inputParams.{variableName} = """" // [] if is an number type  
]
*/
  // for example : This is actual code
  if (value === ""No"") {
    window[""transitionApiParams!flowID!""].inputParams.drycleaningIncomeInfoGrid = []
    window[""transitionApiParams!flowID!""].inputParams.drycleaningTotalMonthlyRevenue = 0
  }","[""value""]"
Ironing & Laundry Shop,dry cleaning Y/N,Question,Do you  provide dry cleaning services ?,drycleaningService,radio,,,[]
Ironing & Laundry Shop,laundry income info,Function Definition,,,,salesValueCalc,return(Number(params1)*Number(params2)).toFixed(2);,"[""params1"", ""params2""]"
Ironing & Laundry Shop,laundry income info,Function Definition,,,,totalSalesValueCalc,return(Number(params1)+Number(params2)).toFixed(2);,"[""params1"", ""params2""]"
Ironing & Laundry Shop,laundry income info,Function Definition,,,,getAccurateValuesRevenue,"let value = ""0"";
  infoGrid.forEach((obj) => {
    if (obj.key === ""Total Monthly Revenue"") {
      value = (Number(value) + Number(obj.value)).toFixed(2)
    }
  });
  document.getElementById(""element-laundryTotalMonthlyRevenue"").textContent = value
  return value","[""infoGrid""]"
Ironing & Laundry Shop,Dry cleaning income info,Function Definition,,,,salesValueCalc,return(Number(params1)*Number(params2)).toFixed(2);,"[""params1"", ""params2""]"
Ironing & Laundry Shop,Dry cleaning income info,Function Definition,,,,totalSalesValueCalc,return(Number(params1)+Number(params2)).toFixed(2);,"[""params1"", ""params2""]"
Ironing & Laundry Shop,Dry cleaning income info,Function Definition,,,,getAccurateValuesRevenue,"let value = ""0"";
  infoGrid.forEach((obj) => {
    if (obj.key === ""Total Monthly Revenue"") {
      value = (Number(value) + Number(obj.value)).toFixed(2)
    }
  });
  document.getElementById(""element-drycleaningTotalMonthlyRevenue"").textContent = value
  return value","[""infoGrid""]"
Ironing & Laundry Shop,laundry outlook,Question,How many washing machines do you have?,laundryMachineCount,number,,,[]
